country,degree_centrality,betweenness,pagerank,hub_score,airport_count,outgoing_routes,incoming_routes,total_routes,continent,rank_routes,rank_betweenness,hidden_gem_score
Philippines,0.2143,0.012,0.0043,0.2306,71,155,154,309,Asia,47.0,50.0,-3.0
Taiwan,0.2143,0.0066,0.0089,0.2298,25,385,383,768,Asia,24.0,79.5,-55.5
Croatia,0.2232,0.0011,0.004,0.2283,14,182,183,365,Europe,41.0,144.5,-103.5
Senegal,0.2188,0.0053,0.004,0.2281,11,66,65,131,Africa,88.5,93.5,-5.0
Netherlands Antilles,0.2098,0.0107,0.0039,0.2244,5,87,85,172,Other,72.0,53.5,18.5
Kazakhstan,0.2143,0.0067,0.0028,0.2238,26,101,101,202,Asia,66.0,78.0,-12.0
Bulgaria,0.2143,0.0061,0.0022,0.2226,13,83,83,166,Europe,76.0,83.0,-7.0
Sri Lanka,0.2054,0.0123,0.0032,0.2209,12,101,101,202,Asia,66.0,48.5,17.5
Pakistan,0.2098,0.0044,0.0046,0.2188,54,166,168,334,Asia,43.0,99.5,-56.5
Venezuela,0.1964,0.0191,0.0028,0.2183,57,66,66,132,Other,87.0,27.0,60.0
Cuba,0.2009,0.0107,0.0024,0.214,32,78,72,150,Other,80.0,53.5,26.5
Bahrain,0.2054,0.0031,0.0027,0.2112,2,84,86,170,Middle East,74.0,112.5,-38.5
Angola,0.1786,0.0304,0.002,0.211,25,33,32,65,Other,130.0,18.0,112.0
Uzbekistan,0.1964,0.0105,0.0031,0.21,13,120,119,239,Asia,56.5,55.5,1.0
Colombia,0.1964,0.0052,0.0039,0.2055,75,120,120,240,South America,55.0,95.0,-40.0
Azerbaijan,0.1964,0.004,0.0022,0.2026,8,69,70,139,Other,84.0,101.0,-17.0
Chile,0.1741,0.0175,0.0032,0.1948,46,60,59,119,South America,93.0,32.0,61.0
Argentina,0.183,0.008,0.0036,0.1946,96,89,90,179,South America,71.0,69.0,2.0
Vietnam,0.1875,0.0006,0.0043,0.1924,25,161,161,322,Asia,45.0,161.5,-116.5
New Zealand,0.1652,0.0138,0.0076,0.1866,60,104,134,238,Oceania,58.0,40.5,17.5
Peru,0.1786,0.0032,0.0032,0.185,43,84,83,167,South America,75.0,110.0,-35.0
Luxembourg,0.1786,0.0031,0.002,0.1837,1,70,70,140,Other,83.0,112.5,-29.5
Indonesia,0.1696,0.0056,0.0062,0.1814,145,220,218,438,Asia,36.0,88.5,-52.5
Estonia,0.1696,0.0085,0.0014,0.1795,9,39,39,78,Other,112.5,67.0,45.5
Bangladesh,0.1696,0.0069,0.0025,0.179,10,71,72,143,Asia,81.0,75.0,6.0
Puerto Rico,0.1607,0.0132,0.0043,0.1782,10,102,102,204,Other,64.0,43.5,20.5
Georgia,0.1696,0.0035,0.0016,0.1747,5,45,46,91,Other,101.0,108.0,-7.0
Cote d'Ivoire,0.1652,0.0037,0.0035,0.1724,8,49,52,101,Other,98.0,104.0,-6.0
Tanzania,0.1473,0.0211,0.0027,0.1711,29,42,42,84,Africa,105.5,24.0,81.5
Slovenia,0.1607,0.0026,0.0014,0.1647,5,33,33,66,Other,128.5,118.0,10.5
Mauritius,0.1429,0.0123,0.0023,0.1575,2,40,40,80,Other,109.5,48.5,61.0
Fiji,0.125,0.0274,0.0042,0.1566,19,41,37,78,Oceania,112.5,19.0,93.5
Cameroon,0.1518,0.0002,0.0038,0.1558,10,53,53,106,Africa,96.0,182.5,-86.5
Yemen,0.1429,0.0029,0.0024,0.1482,11,58,55,113,Other,94.0,114.5,-20.5
Jamaica,0.1339,0.0104,0.0024,0.1467,6,72,69,141,Other,82.0,57.0,25.0
Antigua and Barbuda,0.1384,0.0061,0.0021,0.1466,2,35,34,69,Other,124.0,83.0,41.0
Barbados,0.1295,0.014,0.0018,0.1453,1,23,23,46,Other,148.5,39.0,109.5
Moldova,0.1339,0.01,0.0013,0.1452,5,34,34,68,Other,126.0,59.0,67.0
Benin,0.1384,0.0011,0.0029,0.1424,3,41,39,80,Other,109.5,144.5,-35.0
Uganda,0.125,0.0127,0.0022,0.1399,12,31,30,61,Other,131.0,46.0,85.0
Maldives,0.1295,0.0086,0.0015,0.1396,11,40,37,77,Other,114.0,65.5,48.5
Trinidad and Tobago,0.1295,0.0071,0.0025,0.1391,2,37,38,75,Other,118.5,71.0,47.5
Mali,0.1339,0.0027,0.002,0.1386,9,28,27,55,Other,136.0,116.0,20.0
Cape Verde,0.125,0.011,0.0018,0.1378,7,37,38,75,Other,118.5,52.0,66.5
Nepal,0.125,0.0066,0.0016,0.1332,34,35,35,70,Asia,121.5,79.5,42.0
El Salvador,0.1205,0.009,0.0021,0.1316,3,53,52,105,Other,97.0,62.0,35.0
Gabon,0.1205,0.0068,0.0021,0.1294,13,25,25,50,Other,141.5,76.5,65.0
Iceland,0.125,0.0008,0.002,0.1278,22,46,47,93,Other,99.0,154.5,-55.5
Iraq,0.125,0.0001,0.0023,0.1274,16,76,75,151,Middle East,79.0,192.5,-113.5
Burma,0.1161,0.0086,0.0016,0.1263,43,41,41,82,Other,107.0,65.5,41.5
Rwanda,0.1205,0.0029,0.0025,0.1259,3,39,37,76,Other,116.0,114.5,1.5
Burkina Faso,0.1205,0.0024,0.0025,0.1254,2,33,33,66,Other,128.5,120.0,8.5
Macedonia,0.1161,0.0059,0.0011,0.1231,2,23,23,46,Other,148.5,86.0,62.5
Togo,0.1161,0.0045,0.0018,0.1224,4,20,21,41,Other,154.0,98.0,56.0
Ecuador,0.1161,0.002,0.0018,0.1199,36,41,43,84,Other,105.5,125.0,-19.5
Sudan,0.1161,0.0018,0.0018,0.1197,18,35,34,69,Other,124.0,127.5,-3.5
Armenia,0.1161,0.0014,0.0016,0.1191,5,46,46,92,Other,100.0,138.5,-38.5
Costa Rica,0.1071,0.0016,0.0024,0.1111,31,67,64,131,Other,88.5,130.5,-42.0
Libya,0.1071,0.0005,0.002,0.1096,18,63,63,126,Other,92.0,164.5,-72.5
Guam,0.0893,0.0105,0.0021,0.1019,2,35,35,70,Other,121.5,55.5,66.0
Congo (Brazzaville),0.0982,0.0004,0.0026,0.1012,5,34,35,69,Other,124.0,167.5,-43.5
Cambodia,0.0982,0.0002,0.0022,0.1006,9,65,65,130,Other,90.0,182.5,-92.5
Montenegro,0.0982,0.0001,0.0012,0.0995,2,27,27,54,Other,137.5,192.5,-55.0
Brunei,0.0893,0.0068,0.0012,0.0973,2,23,23,46,Other,148.5,76.5,72.0
Congo (Kinshasa),0.0938,0.0006,0.002,0.0964,44,26,27,53,Other,139.0,161.5,-22.5
Zambia,0.0893,0.0016,0.0033,0.0942,13,41,40,81,Other,108.0,130.5,-22.5
Guatemala,0.0848,0.0065,0.0019,0.0932,10,38,41,79,Other,111.0,81.0,30.0
Bosnia and Herzegovina,0.0893,0.0026,0.0011,0.093,4,20,20,40,Other,155.5,118.0,37.5
Saint Lucia,0.0893,0.0006,0.002,0.0919,2,30,28,58,Other,133.0,161.5,-28.5
